Symbol,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,RSI,ATR,BB_Middle,BB_Upper,BB_Lower,BB_Width
ABT,2025-08-07,129.9212,131.2486,129.4953,130.8127,4690600,126.7138,130.0545,,58.1057,2.622,126.7138,133.1044,120.3232,0.1009
ABT,2025-08-08,130.5552,133.4377,130.5056,133.0117,4985400,126.855,130.111,,63.0286,2.6442,126.855,133.6788,120.0311,0.1076
ABT,2025-08-11,132.8137,133.0811,129.317,130.1193,7125600,126.851,130.0932,,54.0346,2.7242,126.851,133.6667,120.0353,0.1075
ABT,2025-08-12,130.4957,130.6443,128.3958,129.7825,5657500,126.8277,130.0543,,53.0847,2.6902,126.8277,133.5976,120.0578,0.1068
ABT,2025-08-13,129.8816,130.4066,127.118,128.1778,6723700,126.7118,129.9835,,48.6925,2.7329,126.7118,133.2941,120.1296,0.1039
ABT,2025-08-14,127.8807,128.9109,127.3161,128.059,9688300,127.1462,129.9076,,48.3733,2.6517,127.1462,132.7651,121.5273,0.0884
ABT,2025-08-15,128.6929,131.1,128.4453,130.5057,6784500,127.5464,129.8954,,54.9248,2.6795,127.5464,132.9067,122.1861,0.0841
ABT,2025-08-18,130.3868,131.0505,128.9307,129.0396,3831400,127.8361,129.8345,,50.7676,2.6395,127.8361,132.8314,122.8408,0.0782
ABT,2025-08-19,128.6929,130.4759,127.4646,130.0104,4845700,128.1095,129.8002,,53.2887,2.666,128.1095,132.9417,123.2773,0.0754
ABT,2025-08-20,130.8028,132.5462,130.4759,131.1891,3639800,128.4369,129.793,,56.2205,2.6567,128.4369,133.1659,123.7079,0.0736
ABT,2025-08-21,130.8721,131.9419,130.5056,130.7533,3980000,128.7519,129.7627,,54.8497,2.5696,128.7519,133.1943,124.3095,0.069
ABT,2025-08-22,131.516,132.358,130.0995,131.3377,4130200,129.0515,129.7214,,56.3853,2.5473,129.0515,133.3318,124.7713,0.0663
ABT,2025-08-25,131.4665,131.7042,130.2481,130.6245,4705800,129.3249,129.6427,,53.9728,2.4694,129.3249,133.2407,125.4091,0.0606
ABT,2025-08-26,130.6146,131.1,130.1392,130.3472,6076500,129.5022,129.5749,,53.0227,2.3616,129.5022,133.2545,125.7499,0.0579
ABT,2025-08-27,130.2283,130.5057,129.3269,130.2184,4759200,129.6463,129.5362,,52.5601,2.2772,129.6463,133.2674,126.0253,0.0559
ABT,2025-08-28,129.6835,130.3967,128.9108,130.1292,4674700,129.9029,129.5299,,52.2203,2.2206,129.9029,132.79,127.0157,0.0445
ABT,2025-08-29,130.7632,131.5953,129.9311,131.4071,4430700,130.1689,129.5466,,56.5546,2.1809,130.1689,132.5034,127.8344,0.0359
ABT,2025-09-02,131.4368,132.1401,129.6042,130.2184,5779200,130.2446,129.528,,51.8434,2.2062,130.2446,132.4748,128.0145,0.0342
ABT,2025-09-03,129.9113,130.9415,128.9802,130.9316,4806500,130.3184,129.5184,,54.3031,2.1887,130.3184,132.5363,128.1005,0.034
ABT,2025-09-04,130.9316,132.5759,130.4561,131.5556,5073800,130.4115,129.4263,,56.4016,2.1838,130.4115,132.6749,128.1482,0.0347
ABT,2025-09-05,131.2585,133.0514,131.199,131.6844,3286900,130.4551,129.3501,,56.842,2.1601,130.4551,132.7836,128.1267,0.0357
ABT,2025-09-08,131.0108,131.833,130.367,130.9514,5070200,130.3521,129.3328,,53.5273,2.1106,130.3521,132.3653,128.3389,0.0309
